the_geom,OBJECTID,CNN,STREETNAME,CNNTEXT,LAYER
"LINESTRING (-122.41969356580694 37.777299856254665, -122.41963777411198 37.77740679950146, -122.41971162557282 37.77777015207164)",10170,13145201,VAN NESS AVE,13145201,STREETS
"LINESTRING (-122.41969356580694 37.777299856254665, -122.41978846640276 37.77738742958059, -122.41993416499731 37.77812005570278, -122.41988323101634 37.778251017791526)",6458,13145101,VAN NESS AVE,13145101,STREETS
"LINESTRING (-122.4195062939545 37.77636886991005, -122.41944856288131 37.776475850987694, -122.41959814073022 37.77721179887294, -122.41969356580694 37.777299856254665)",10190,13144201,VAN NESS AVE,13144201,STREETS
"LINESTRING (-122.4195062939545 37.77636886991005, -122.41960335935586 37.77645662266227, -122.41974966564264 37.77719232176729, -122.41969356580694 37.777299856254665)",10189,13144101,VAN NESS AVE,13144101,STREETS
"LINESTRING (-122.41925560620771 37.775147074549785, -122.4192022840106 37.775283856742014, -122.41940893009026 37.77628084807229, -122.4195062939545 37.77636886991005)",6459,13143201,VAN NESS AVE,13143201,STREETS
"LINESTRING (-122.4194915115385 37.77589418707409, -122.41956455994955 37.77626151612299, -122.4195062939545 37.77636886991005)",10171,13143103,VAN NESS AVE,13143103,STREETS
"LINESTRING (-122.41939688853077 37.775422221028684, -122.4194915115385 37.77589418707409)",7224,13143102,VAN NESS AVE,13143102,STREETS
"LINESTRING (-122.41925560620771 37.775147074549785, -122.41935505190544 37.77523423249162, -122.41939688853077 37.775422221028684)",7225,13143101,VAN NESS AVE,13143101,STREETS
"LINESTRING (-122.41760944342604 37.77040741743919, -122.41770634570679 37.77036402937583, -122.41776589949288 37.77014297421208, -122.41778073949496 37.76991808466611, -122.41775319358457 37.769815079238114)",5536,12018201,SOUTH VAN NESS AVE,12018201,STREETS
"LINESTRING (-122.41760944342604 37.77040741743919, -122.41756092643733 37.770327062761076, -122.41767450355856 37.769905483427785, -122.41775319358457 37.769815079238114)",10442,12018101,SOUTH VAN NESS AVE,12018101,STREETS
"LINESTRING (-122.4180289196101 37.77087647008155, -122.41799534110432 37.77076521224551, -122.41791468353557 37.77062615575432, -122.41779372629398 37.7704353225322, -122.41760944342604 37.77040741743919)",5528,12017202,SOUTH VAN NESS AVE,12017202,STREETS
"LINESTRING (-122.41835203341961 37.77222217998497, -122.41839893038987 37.77210242366363, -122.4180289196101 37.77087647008155)",5527,12017201,SOUTH VAN NESS AVE,12017201,STREETS
"LINESTRING (-122.41835203341961 37.77222217998497, -122.41822616596617 37.77213090091999, -122.41783138716995 37.77081088086676, -122.41775880585698 37.77068574747776, -122.41765283116641 37.77052407281662, -122.41760944342604 37.77040741743919)",5515,12017101,SOUTH VAN NESS AVE,12017101,STREETS
"LINESTRING (-122.41861821572863 37.773053454449645, -122.41860824984315 37.77273090699316, -122.41846932286556 37.77232293309453, -122.41835203341961 37.77222217998497)",10458,12016201,SOUTH VAN NESS AVE,12016201,STREETS
"LINESTRING (-122.41861821572863 37.773053454449645, -122.41847434070668 37.77287473853091, -122.41831107527447 37.77234417286993, -122.41835203341961 37.77222217998497)",10459,12016101,SOUTH VAN NESS AVE,12016101,STREETS
"LINESTRING (-122.41925560620771 37.775147074549785, -122.41928002576758 37.7749448489978, -122.41872991849041 37.77318289418717, -122.41861821572863 37.773053454449645)",10455,12015201,SOUTH VAN NESS AVE,12015201,STREETS
"LINESTRING (-122.41925560620771 37.775147074549785, -122.41916669177559 37.77503853477025, -122.41861251458339 37.77326353772338, -122.41861821572863 37.773053454449645)",10454,12015101,SOUTH VAN NESS AVE,12015101,STREETS
"LINESTRING (-122.49440311953678 37.73396024723046, -122.4964486430788 37.73387746057167, -122.49663599722484 37.73377084310752)",15917,11959204,SLOAT BLVD,11959204,STREETS
"LINESTRING (-122.49334544397644 37.73400853006698, -122.49440311953678 37.73396024723046)",15916,11959203,SLOAT BLVD,11959203,STREETS
"LINESTRING (-122.49225935534731 37.734058099694174, -122.49334544397644 37.73400853006698)",15918,11959202,SLOAT BLVD,11959202,STREETS
"LINESTRING (-122.49134261863524 37.73400785782061, -122.49150858559652 37.734092359265546, -122.49225935534731 37.734058099694174)",15899,11959201,SLOAT BLVD,11959201,STREETS
"LINESTRING (-122.49527142485707 37.733747810140976, -122.49645856911525 37.733694301858215, -122.49663599722484 37.73377084310752)",12508,11959105,SLOAT BLVD,11959105,STREETS
"LINESTRING (-122.49437569083132 37.73378841483084, -122.49527142485707 37.733747810140976)",12507,11959104,SLOAT BLVD,11959104,STREETS
"LINESTRING (-122.49333778019819 37.73383643366527, -122.49437569083132 37.73378841483084)",12506,11959103,SLOAT BLVD,11959103,STREETS
"LINESTRING (-122.49241805069947 37.733878977056165, -122.49333778019819 37.73383643366527)",11356,11959102,SLOAT BLVD,11959102,STREETS
"LINESTRING (-122.49134261863524 37.73400785782061, -122.4915213950371 37.733920379346934, -122.49241805069947 37.733878977056165)",12505,11959101,SLOAT BLVD,11959101,STREETS
"LINESTRING (-122.49044354462684 37.73405049702205, -122.49055011884161 37.73412471254018, -122.4911317223491 37.73409605602323, -122.49134261863524 37.73400785782061)",15896,11958201,SLOAT BLVD,11958201,STREETS
"LINESTRING (-122.49044354462684 37.73405049702205, -122.49054985297802 37.73396653418614, -122.49112051177946 37.73394041704936, -122.49134261863524 37.73400785782061)",12531,11958101,SLOAT BLVD,11958101,STREETS
"LINESTRING (-122.48895603941875 37.734113297712554, -122.48908554682878 37.734196861573515, -122.49032591098506 37.73413575865821, -122.49044354462684 37.73405049702205)",15897,11957201,SLOAT BLVD,11957201,STREETS
"LINESTRING (-122.48895603941875 37.734113297712554, -122.48916875946328 37.73402973153193, -122.49032170120884 37.733976975300685, -122.49044354462684 37.73405049702205)",12530,11957101,SLOAT BLVD,11957101,STREETS
"LINESTRING (-122.48593309364946 37.73424683561876, -122.48610071585608 37.73432902542933, -122.48874528450159 37.73421508536831, -122.48895603941875 37.734113297712554)",15915,11956201,SLOAT BLVD,11956201,STREETS
"LINESTRING (-122.48816697058123 37.734074769805446, -122.4888504808533 37.73404839566743, -122.48895603941875 37.734113297712554)",12502,11956104,SLOAT BLVD,11956104,STREETS
"LINESTRING (-122.48728822506911 37.734117079480775, -122.48816697058123 37.734074769805446)",12501,11956103,SLOAT BLVD,11956103,STREETS
"LINESTRING (-122.4864023566218 37.734156088185884, -122.48728822506911 37.734117079480775)",12489,11956102,SLOAT BLVD,11956102,STREETS
"LINESTRING (-122.48593309364946 37.73424683561876, -122.48609370219603 37.734166236180705, -122.4864023566218 37.734156088185884)",12488,11956101,SLOAT BLVD,11956101,STREETS
"LINESTRING (-122.48497256587589 37.73437797232636, -122.48577510822624 37.73434455756911, -122.48593309364946 37.73424683561876)",15913,11955203,SLOAT BLVD,11955203,STREETS
"LINESTRING (-122.48407535823964 37.734415321993644, -122.48497256587589 37.73437797232636)",15912,11955202,SLOAT BLVD,11955202,STREETS
"LINESTRING (-122.48377525158789 37.73434210997447, -122.48388134134414 37.734423397922846, -122.48407535823964 37.734415321993644)",15914,11955201,SLOAT BLVD,11955201,STREETS
"LINESTRING (-122.48552546861886 37.734194177687456, -122.48578304095827 37.73418665104728, -122.48593309364946 37.73424683561876)",15911,11955103,SLOAT BLVD,11955103,STREETS
"LINESTRING (-122.4846537853409 37.734229932542476, -122.48552546861886 37.734194177687456)",15910,11955102,SLOAT BLVD,11955102,STREETS
"LINESTRING (-122.48377525158789 37.73434210997447, -122.4838697260258 37.73426518070992, -122.4846537853409 37.734229932542476)",15909,11955101,SLOAT BLVD,11955101,STREETS
