CNN,STREET,ST_TYPE,NHOOD,CNNTEXT,shape
4297000.0,COLUMBUS,AVE,North Beach,4297000,"LINESTRING (-122.41094 37.800827, -122.41136 37.80112)"
4291000.0,COLUMBUS,AVE,Financial District North,4291000,"LINESTRING (-122.40621 37.797554, -122.406654 37.79786)"
4296000.0,COLUMBUS,AVE,North Beach,4296000,"LINESTRING (-122.410194 37.800312, -122.41094 37.800827)"
4295000.0,COLUMBUS,AVE,North Beach,4295000,"LINESTRING (-122.409004 37.799484, -122.410194 37.800312)"
4293000.0,COLUMBUS,AVE,Telegraph Hill,4293000,"LINESTRING (-122.40707 37.798145, -122.40786 37.79869)"
4292000.0,COLUMBUS,AVE,Telegraph Hill,4292000,"LINESTRING (-122.406654 37.79786, -122.40707 37.798145)"
4302000.0,COLUMBUS,AVE,North Beach,4302000,"LINESTRING (-122.41486 37.80354, -122.415436 37.803932)"
4303000.0,COLUMBUS,AVE,North Beach,4303000,"LINESTRING (-122.415436 37.803932, -122.41604 37.80435)"
4304000.0,COLUMBUS,AVE,North Beach,4304000,"LINESTRING (-122.41604 37.80435, -122.4168 37.804882)"
4305000.0,COLUMBUS,AVE,North Beach,4305000,"LINESTRING (-122.4168 37.804882, -122.41721 37.805164)"
4306000.0,COLUMBUS,AVE,North Waterfront,4306000,"LINESTRING (-122.41721 37.805164, -122.418365 37.805973)"
4300000.0,COLUMBUS,AVE,North Beach,4300000,"LINESTRING (-122.412895 37.802177, -122.413704 37.80274)"
4294000.0,COLUMBUS,AVE,Telegraph Hill,4294000,"LINESTRING (-122.40786 37.79869, -122.409004 37.799484)"
4288000.0,COLUMBUS,AVE,Financial District North,4288000,"LINESTRING (-122.404396 37.7963, -122.40527 37.796906)"
4301000.0,COLUMBUS,AVE,North Beach,4301000,"LINESTRING (-122.413704 37.80274, -122.41486 37.80354)"
4286000.0,COLUMBUS,AVE,Financial District North,4286000,"LINESTRING (-122.403305 37.79553, -122.40405 37.79606)"
4808101.0,DIVISADERO,ST,Anza Vista,4808101,"LINESTRING (-122.43873 37.779655, -122.4388 37.779724, -122.43895 37.780506, -122.43891 37.780582)"
4807201.0,DIVISADERO,ST,Western Addition,4807201,"LINESTRING (-122.43854 37.77872, -122.43851 37.778805, -122.43866 37.779587, -122.43873 37.779655)"
4807101.0,DIVISADERO,ST,North Panhandle,4807101,"LINESTRING (-122.43854 37.77872, -122.43861 37.778793, -122.43876 37.77957, -122.43873 37.779655)"
4806201.0,DIVISADERO,ST,Alamo Square,4806201,"LINESTRING (-122.438354 37.77779, -122.43832 37.777885, -122.43847 37.778652, -122.43854 37.77872)"
4806101.0,DIVISADERO,ST,North Panhandle,4806101,"LINESTRING (-122.438354 37.77779, -122.43842 37.77787, -122.438576 37.778637, -122.43854 37.77872)"
4805201.0,DIVISADERO,ST,Alamo Square,4805201,"LINESTRING (-122.43816 37.77685, -122.438126 37.776936, -122.438286 37.777718, -122.438354 37.77779)"
4805101.0,DIVISADERO,ST,North Panhandle,4805101,"LINESTRING (-122.43816 37.77685, -122.43823 37.77692, -122.438385 37.777702, -122.438354 37.77779)"
4804101.0,DIVISADERO,ST,North Panhandle,4804101,"LINESTRING (-122.43797 37.77592, -122.43805 37.775993, -122.4382 37.776775, -122.43816 37.77685)"
4803201.0,DIVISADERO,ST,Alamo Square,4803201,"LINESTRING (-122.43778 37.774986, -122.43776 37.775074, -122.43791 37.775852, -122.43797 37.77592)"
4802101.0,DIVISADERO,ST,North Panhandle,4802101,"LINESTRING (-122.4376 37.774055, -122.43766 37.774136, -122.43782 37.7749, -122.43778 37.774986)"
4811201.0,DIVISADERO,ST,Western Addition,4811201,"LINESTRING (-122.439285 37.782444, -122.43926 37.78253, -122.43939 37.783234, -122.43947 37.783302)"
4801101.0,DIVISADERO,ST,North Panhandle,4801101,"LINESTRING (-122.43741 37.77313, -122.43747 37.77321, -122.43762 37.77397, -122.4376 37.774055)"
4800201.0,DIVISADERO,ST,Hayes Valley,4800201,"LINESTRING (-122.437225 37.772198, -122.43719 37.77228, -122.43735 37.773056, -122.43741 37.77313)"
4800101.0,DIVISADERO,ST,Haight Ashbury,4800101,"LINESTRING (-122.437225 37.772198, -122.43729 37.77227, -122.43744 37.773045, -122.43741 37.77313)"
4799101.0,DIVISADERO,ST,Haight Ashbury,4799101,"LINESTRING (-122.437035 37.771263, -122.43709 37.77133, -122.43725 37.77212, -122.437225 37.772198)"
4798201.0,DIVISADERO,ST,Hayes Valley,4798201,"LINESTRING (-122.43684 37.770336, -122.43681 37.77042, -122.436966 37.771194, -122.437035 37.771263)"
4798101.0,DIVISADERO,ST,Buena Vista Park,4798101,"LINESTRING (-122.43684 37.770336, -122.436905 37.77041, -122.437065 37.77118, -122.437035 37.771263)"
4810201.0,DIVISADERO,ST,Western Addition,4810201,"LINESTRING (-122.4391 37.781517, -122.439064 37.781593, -122.43921 37.78236, -122.439285 37.782444)"
4810101.0,DIVISADERO,ST,Anza Vista,4810101,"LINESTRING (-122.4391 37.781517, -122.43916 37.781578, -122.43932 37.782345, -122.439285 37.782444)"
4809201.0,DIVISADERO,ST,Western Addition,4809201,"LINESTRING (-122.43891 37.780582, -122.43887 37.78066, -122.43903 37.781464, -122.4391 37.781517)"
4835000.0,DIVISADERO,ST,Marina,4835000,"LINESTRING (-122.44378 37.804634, -122.44397 37.805576)"
4833000.0,DIVISADERO,ST,Marina,4833000,"LINESTRING (-122.4434 37.80277, -122.44359 37.8037)"
4832000.0,DIVISADERO,ST,Marina,4832000,"LINESTRING (-122.44321 37.801834, -122.4434 37.80277)"
4831000.0,DIVISADERO,ST,Marina,4831000,"LINESTRING (-122.44302 37.800903, -122.44321 37.801834)"
4830000.0,DIVISADERO,ST,Marina,4830000,"LINESTRING (-122.44283 37.799973, -122.44302 37.800903)"
4829000.0,DIVISADERO,ST,Marina,4829000,"LINESTRING (-122.442635 37.798996, -122.44283 37.799973)"
4827000.0,DIVISADERO,ST,Cow Hollow,4827000,"LINESTRING (-122.44227 37.797176, -122.44245 37.798107)"
4826000.0,DIVISADERO,ST,Cow Hollow,4826000,"LINESTRING (-122.44208 37.796246, -122.44227 37.797176)"
4825000.0,DIVISADERO,ST,Pacific Heights,4825000,"LINESTRING (-122.44189 37.795315, -122.44208 37.796246)"
4824000.0,DIVISADERO,ST,Pacific Heights,4824000,"LINESTRING (-122.441696 37.79438, -122.44189 37.795315)"
4822000.0,DIVISADERO,ST,Pacific Heights,4822000,"LINESTRING (-122.44132 37.792507, -122.441505 37.79343)"
4828000.0,DIVISADERO,ST,Cow Hollow,4828000,"LINESTRING (-122.44245 37.798107, -122.442635 37.798996)"
4834000.0,DIVISADERO,ST,Marina,4834000,"LINESTRING (-122.44359 37.8037, -122.44378 37.804634)"
4799201.0,DIVISADERO,ST,Hayes Valley,4799201,"LINESTRING (-122.437035 37.771263, -122.437 37.771343, -122.437164 37.772133, -122.437225 37.772198)"
4816201.0,DIVISADERO,ST,Lower Pacfic Heights,4816201,"LINESTRING (-122.44024 37.78711, -122.4402 37.787193, -122.44037 37.788, -122.44043 37.788063)"
4813201.0,DIVISADERO,ST,Lower Pacfic Heights,4813201,"LINESTRING (-122.439674 37.784313, -122.439644 37.7844, -122.4398 37.78517, -122.43986 37.785244)"
