CNN,STREET,ST_TYPE,FROM_ST,TO_ST,SPEEDLIMIT,SCHOOLZONE,SCHOOLZONE_LIMIT,MTAB_DATE,MTAB_MOTION,MTAB_RESO_TEXT,STATUS,WORKORDER,shape
199201,03RD,ST,BURKE AVE,CUSTER AVE,30,,,,,,,,"MULTILINESTRING ((-122.387115 37.745064, -122.387215 37.744907, -122.38723 37.744816, -122.387375 37.744392, -122.38736 37.744255))"
190201,03RD,ST,20TH ST,22ND ST,30,,,,,,,,"MULTILINESTRING ((-122.38856 37.760487, -122.38862 37.76039, -122.38839 37.75802, -122.38831 37.757935))"
220102,03RD,ST,LANE ST,LANE ST,30,,,,,,,,"MULTILINESTRING ((-122.39269 37.728855, -122.39279 37.72856, -122.39288 37.728485))"
209201,03RD,ST,LA SALLE AVE,MCKINNON AVE,25,,,,,,,,"MULTILINESTRING ((-122.389854 37.737164, -122.38995 37.73709, -122.39015 37.736507, -122.39013 37.736385))"
220201,03RD,ST,WILLIAMS AVE,LANE ST,25,,,,,,,,"MULTILINESTRING ((-122.39261 37.729275, -122.39272 37.729156, -122.39292 37.728603, -122.39288 37.728485))"
190101,03RD,ST,20TH ST,22ND ST,30,,,,,,,,"MULTILINESTRING ((-122.38856 37.760487, -122.38849 37.760403, -122.38825 37.75802, -122.38831 37.757935))"
199101,03RD,ST,BURKE AVE,CUSTER AVE,30,,,,,,,,"MULTILINESTRING ((-122.387115 37.745064, -122.387085 37.744892, -122.38711 37.744793, -122.38725 37.744366, -122.38736 37.744255))"
232201,03RD,ST,KEY AVE,LE CONTE AVE,25,,,,,,,,"MULTILINESTRING ((-122.39694 37.71947, -122.39706 37.719376, -122.39746 37.718937, -122.39747 37.71883))"
207101,03RD,ST,NEWHALL ST,KIRKWOOD AVE,25,,,,,,,,"MULTILINESTRING ((-122.3893 37.738735, -122.38927 37.738625, -122.38949 37.738018, -122.38957 37.73795))"
175000,03RD,ST,BRYANT ST,TABER PL,25,,,,,,,,"MULTILINESTRING ((-122.39583 37.781315, -122.39551 37.781055))"
205101,03RD,ST,HUDSON AVE,INNES AVE,25,,,,,,,,"MULTILINESTRING ((-122.38874 37.74031, -122.38872 37.7402, -122.38893 37.739594, -122.389015 37.73953))"
211101,03RD,ST,NEWCOMB AVE,OAKDALE AVE,25,,,,,,,,"MULTILINESTRING ((-122.3904 37.735584, -122.39039 37.73544, -122.39059 37.734875, -122.39068 37.73479))"
204101,03RD,ST,GALVEZ AVE,HUDSON AVE,25,,,,,,,,"MULTILINESTRING ((-122.388466 37.741104, -122.388435 37.74099, -122.38865 37.74038, -122.38874 37.74031))"
174000,03RD,ST,STILLMAN ST,BRYANT ST,25,,,,,,,,"MULTILINESTRING ((-122.39637 37.781746, -122.39583 37.781315))"
223201,03RD,ST,ARMSTRONG AVE,BANCROFT AVE,25,,,,,,,,"MULTILINESTRING ((-122.393555 37.726974, -122.39366 37.726902, -122.3939 37.72638, -122.39389 37.72623))"
210201,03RD,ST,MCKINNON AVE,NEWCOMB AVE,25,,,,,,,,"MULTILINESTRING ((-122.39013 37.736385, -122.39023 37.736282, -122.39043 37.735733, -122.3904 37.735584))"
165000,03RD,ST,JESSIE ST,MISSION ST,25,,,,,,,,"MULTILINESTRING ((-122.402565 37.786674, -122.402016 37.786243))"
213101,03RD,ST,PALOU AVE,QUESADA AVE,25,,,,,,,,"MULTILINESTRING ((-122.39095 37.73401, -122.39094 37.73386, -122.391136 37.7333, -122.39123 37.73322))"
218201,03RD,ST,THORNTON AVE,UNDERWOOD AVE,25,,,,,,,,"MULTILINESTRING ((-122.392136 37.730637, -122.39223 37.73057, -122.39236 37.730198, -122.392334 37.73006))"
225102,03RD,ST,DONNER AVE,EGBERT AVE,25,,,,,,,,"MULTILINESTRING ((-122.394516 37.72469, -122.394806 37.724052, -122.39491 37.72397))"
212201,03RD,ST,OAKDALE AVE,PALOU AVE,25,,,,,,,,"MULTILINESTRING ((-122.39068 37.73479, -122.39078 37.73472, -122.390976 37.734154, -122.39095 37.73401))"
227101,03RD,ST,FITZGERALD AVE,GILMAN AVE,25,,,,,,,,"MULTILINESTRING ((-122.39525 37.723217, -122.39524 37.723072, -122.3955 37.722523, -122.39561 37.722427))"
156000,03RD,AVE,ANZA ST,BALBOA ST,0,,,,,,,,"MULTILINESTRING ((-122.460915 37.77923, -122.460785 37.777374))"
217201,03RD,ST,THOMAS AVE,THORNTON AVE,25,,,,,,,,"MULTILINESTRING ((-122.39206 37.73085, -122.392136 37.730816, -122.39218 37.730694, -122.392136 37.730637))"
176000,03RD,ST,TABER PL,SOUTH PARK,25,,,,,,,,"MULTILINESTRING ((-122.39551 37.781055, -122.39505 37.780697))"
217101,03RD,ST,THOMAS AVE,THORNTON AVE,25,,,,,,,,"MULTILINESTRING ((-122.39206 37.73085, -122.39201 37.730797, -122.39206 37.730667, -122.392136 37.730637))"
219201,03RD,ST,UNDERWOOD AVE,WILLIAMS AVE,25,,,,,,,,"MULTILINESTRING ((-122.392334 37.73006, -122.39244 37.729965, -122.39265 37.72937, -122.39261 37.729275))"
218101,03RD,ST,THORNTON AVE,UNDERWOOD AVE,25,,,,,,,,"MULTILINESTRING ((-122.392136 37.730637, -122.3921 37.730545, -122.392235 37.73017, -122.392334 37.73006))"
237000,03RD,ST,OLNEY AVE,SAN BRUNO AVE,0,,,,,,,,"MULTILINESTRING ((-122.399155 37.716927, -122.3997 37.716274, -122.39973 37.71618))"
188201,03RD,ST,18TH ST,19TH ST,30,,,,,,,,"MULTILINESTRING ((-122.38873 37.763042, -122.38877 37.762947, -122.38875 37.76185, -122.38868 37.76176))"
214101,03RD,ST,QUESADA AVE,REVERE AVE,25,,,,,,,,"MULTILINESTRING ((-122.39123 37.73322, -122.39121 37.733074, -122.39141 37.73251, -122.39151 37.732426))"
207201,03RD,ST,NEWHALL ST,KIRKWOOD AVE,25,,,,,,,,"MULTILINESTRING ((-122.3893 37.738735, -122.3894 37.738663, -122.3896 37.73808, -122.38957 37.73795))"
215201,03RD,ST,REVERE AVE,SHAFTER AVE,25,,,,,,,,"MULTILINESTRING ((-122.39151 37.732426, -122.391624 37.732292, -122.39181 37.731777, -122.391785 37.73164))"
189201,03RD,ST,19TH ST,20TH ST,30,,,,,,,,"MULTILINESTRING ((-122.38868 37.76176, -122.38874 37.76167, -122.38863 37.760574, -122.38856 37.760487))"
189101,03RD,ST,19TH ST,20TH ST,30,,,,,,,,"MULTILINESTRING ((-122.38868 37.76176, -122.38861 37.761673, -122.3885 37.76058, -122.38856 37.760487))"
216101,03RD,ST,SHAFTER AVE,THOMAS AVE,25,,,,,,,,"MULTILINESTRING ((-122.391785 37.73164, -122.39176 37.73152, -122.39197 37.73092, -122.39206 37.73085))"
226201,03RD,ST,EGBERT AVE,FITZGERALD AVE,25,,,,,,,,"MULTILINESTRING ((-122.39491 37.72397, -122.39505 37.723866, -122.39529 37.723354, -122.39525 37.723217))"
203101,03RD,ST,FAIRFAX AVE,GALVEZ AVE,25,,,,,,,,"MULTILINESTRING ((-122.38818 37.741882, -122.38816 37.74177, -122.388374 37.74117, -122.388466 37.741104))"
182000,03RD,ST,BERRY ST,CHANNEL ST,25,,,,,,,,"MULTILINESTRING ((-122.391106 37.77755, -122.39041 37.777004, -122.3902 37.77672))"
192101,03RD,ST,23RD ST,24TH ST,30,,,,,,,,"MULTILINESTRING ((-122.387985 37.755386, -122.38791 37.7553, -122.3878 37.754204, -122.38786 37.75411))"
155000,03RD,AVE,GEARY BLVD,ANZA ST,0,,,,,,,,"MULTILINESTRING ((-122.46105 37.781155, -122.460915 37.77923))"
202101,03RD,ST,EVANS AVE,FAIRFAX AVE,25,,,,,,,,"MULTILINESTRING ((-122.38792 37.7427, -122.38788 37.74261, -122.38811 37.741936, -122.38818 37.741882))"
206201,03RD,ST,INNES AVE,NEWHALL ST,25,,,,,,,,"MULTILINESTRING ((-122.389015 37.73953, -122.38912 37.739452, -122.38933 37.738865, -122.3893 37.738735))"
192201,03RD,ST,23RD ST,24TH ST,30,,,,,,,,"MULTILINESTRING ((-122.387985 37.755386, -122.38805 37.755295, -122.38794 37.754192, -122.38786 37.75411))"
193201,03RD,ST,24TH ST,25TH ST,30,,,,,,,,"MULTILINESTRING ((-122.38786 37.75411, -122.387924 37.754017, -122.38782 37.752922, -122.38774 37.75283))"
193101,03RD,ST,24TH ST,25TH ST,30,,,,,,,,"MULTILINESTRING ((-122.38788 37.75411, -122.3878 37.754025, -122.387695 37.75293, -122.38776 37.75283))"
194201,03RD,ST,25TH ST,26TH ST,30,,,,,,,,"MULTILINESTRING ((-122.38774 37.75283, -122.3878 37.75274, -122.387695 37.751637, -122.38762 37.751556))"
163000,03RD,ST,MARKET ST,STEVENSON ST,25,,,,,,,,"MULTILINESTRING ((-122.40342 37.787636, -122.40333 37.78727, -122.403015 37.787018))"
151000,03RD,AVE,LAKE ST,CALIFORNIA ST,0,,,,,,,,"MULTILINESTRING ((-122.46146 37.78681, -122.46136 37.785397))"
