CNN,STREET,ST_TYPE,FROM_ST,TO_ST,SPEEDLIMIT,SCHOOLZONE,SCHOOLZONE_LIMIT,MTAB_DATE,MTAB_MOTION,MTAB_RESO_TEXT,STATUS,WORKORDER,shape
8704101,MARINA,BLVD,FILLMORE ST,AVILA ST,25,,,,,,,,"MULTILINESTRING ((-122.43745 37.806396, -122.437645 37.80631, -122.4397 37.806046, -122.43999 37.806072))"
8708101,MARINA,BLVD,BRODERICK ST,BAKER ST,25,,,,,,,,"MULTILINESTRING ((-122.44564 37.805363, -122.44574 37.80532, -122.447205 37.805134, -122.44727 37.805157))"
8710000,MARINA GREEN,DR,MARINA BLVD,SCOTT ST,0,,,,,,,,"MULTILINESTRING ((-122.43609 37.806496, -122.4359 37.8067, -122.436005 37.807323, -122.44234 37.80652, -122.44219 37.80588, -122.4422 37.805782))"
19508000,MARINE,DR,HAMILTON ST,MCDONALD ST,0,,,,,,,,"MULTILINESTRING ((-122.46752 37.80504, -122.466286 37.804707))"
19507000,MARINE,DR,LONG AVE,END: 0-0 BLOCK,0,,,,,,,,"MULTILINESTRING ((-122.471466 37.808506, -122.471695 37.808643, -122.472176 37.80881, -122.47282 37.808918, -122.473045 37.808952, -122.4734 37.808968, -122.474045 37.808964, -122.47484 37.809055, -122.47546 37.809185, -122.47594 37.809338, -122.476105 37.809467, -122.476326 37.809902, -122.47645 37.8102, -122.476585 37.810677))"
19509000,MARINE,DR,MCDONALD ST,LIVINGSTON ST,0,,,,,,,,"MULTILINESTRING ((-122.466286 37.804707, -122.46543 37.804485))"
8711000,MARION,PL,UNION ST,END: 1-99 BLOCK,0,,,,,,,,"MULTILINESTRING ((-122.41519 37.799683, -122.41528 37.800148))"
8734000,MARIPOSA,ST,FLORIDA ST,ALABAMA ST,0,,,,,,,,"MULTILINESTRING ((-122.411194 37.762966, -122.41216 37.762913))"
8725000,MARIPOSA,ST,RHODE ISLAND ST,KANSAS ST,0,,,,,,,,"MULTILINESTRING ((-122.40243 37.7635, -122.4034 37.76344))"
8730000,MARIPOSA,ST,POTRERO AVE,HAMPSHIRE ST,0,,,,,,,,"MULTILINESTRING ((-122.407295 37.763184, -122.40829 37.76312))"
8732000,MARIPOSA,ST,YORK ST,BRYANT ST,0,,,,,,,,"MULTILINESTRING ((-122.40926 37.76308, -122.41023 37.763023))"
8733000,MARIPOSA,ST,BRYANT ST,FLORIDA ST,0,,,,,,,,"MULTILINESTRING ((-122.41023 37.763023, -122.411194 37.762966))"
8722000,MARIPOSA,ST,,,15,YES,,,,,,,"MULTILINESTRING ((-122.39857 37.76373, -122.4005 37.763615))"
8719000,MARIPOSA,ST,TEXAS ST,MISSOURI ST,0,,,,,,,,"MULTILINESTRING ((-122.39567 37.7639, -122.39663 37.763847))"
8718000,MARIPOSA,ST,MISSISSIPPI ST,TEXAS ST,0,,,,,,,,"MULTILINESTRING ((-122.3947 37.763958, -122.39567 37.7639))"
8717000,MARIPOSA,ST,PENNSYLVANIA AVE,MISSISSIPPI ST,0,,,,,,,,"MULTILINESTRING ((-122.393715 37.764015, -122.3947 37.763958))"
8720000,MARIPOSA,ST,MISSOURI ST,CONNECTICUT ST,0,,,,,,,,"MULTILINESTRING ((-122.39663 37.763847, -122.3976 37.76379))"
8713000,MARIPOSA,ST,03RD ST,TENNESSEE ST,0,,,,,,,,"MULTILINESTRING ((-122.38884 37.764317, -122.38984 37.764256))"
8714000,MARIPOSA,ST,TENNESSEE ST,MINNESOTA ST,0,,,,,,,,"MULTILINESTRING ((-122.38984 37.764256, -122.3908 37.764194))"
8715000,MARIPOSA,ST,MINNESOTA ST,INDIANA ST,0,,,,,,,,"MULTILINESTRING ((-122.3908 37.764194, -122.39177 37.764137))"
8716002,MARIPOSA,ST,I-280 S ON RAMP,PENNSYLVANIA AVE,0,,,,,,,,"MULTILINESTRING ((-122.39316 37.76405, -122.393715 37.764015))"
8712000,MARIPOSA,ST,ILLINOIS ST,03RD ST,0,,,,,,,,"MULTILINESTRING ((-122.3879 37.764374, -122.38884 37.764317))"
8724000,MARIPOSA,ST,DE HARO ST,RHODE ISLAND ST,0,,,,,,,,"MULTILINESTRING ((-122.40147 37.763557, -122.40243 37.7635))"
8716001,MARIPOSA,ST,I-280 N OFF RAMP,I-280 S ON RAMP,0,,,,,,,,"MULTILINESTRING ((-122.39247 37.76409, -122.39316 37.76405))"
8735000,MARIPOSA,ST,ALABAMA ST,HARRISON ST,0,,,,,,,,"MULTILINESTRING ((-122.41216 37.762913, -122.41289 37.762867))"
8722000,MARIPOSA,ST,ARKANSAS ST,CAROLINA ST,15,YES,,,,,,,"MULTILINESTRING ((-122.39857 37.76373, -122.4005 37.763615))"
8716000,MARIPOSA,ST,INDIANA ST,I-280 N OFF RAMP,0,,,,,,,,"MULTILINESTRING ((-122.39177 37.764137, -122.39247 37.76409))"
8721000,MARIPOSA,ST,CONNECTICUT ST,ARKANSAS ST,15,YES,,,,,,,"MULTILINESTRING ((-122.3976 37.76379, -122.39857 37.76373))"
8721000,MARIPOSA,ST,,,15,YES,,,,,,,"MULTILINESTRING ((-122.3976 37.76379, -122.39857 37.76373))"
8727000,MARIPOSA,ST,VERMONT ST,HWY 101 N OFF RAMP,0,,,,,,,,"MULTILINESTRING ((-122.40436 37.76338, -122.40466 37.763355))"
8729000,MARIPOSA,ST,UTAH ST,POTRERO AVE,0,,,,,,,,"MULTILINESTRING ((-122.406296 37.76325, -122.407295 37.763184))"
8728000,MARIPOSA,ST,SAN BRUNO AVE,UTAH ST,0,,,,,,,,"MULTILINESTRING ((-122.405556 37.763298, -122.406296 37.76325))"
8727001,MARIPOSA,ST,HWY 101 N OFF RAMP,SAN BRUNO AVE,0,,,,,,,,"MULTILINESTRING ((-122.40466 37.763355, -122.40533 37.763313, -122.405556 37.763298))"
8731000,MARIPOSA,ST,HAMPSHIRE ST,YORK ST,0,,,,,,,,"MULTILINESTRING ((-122.40829 37.76312, -122.408424 37.76313, -122.40926 37.76308))"
8726000,MARIPOSA,ST,KANSAS ST,VERMONT ST,0,,,,,,,,"MULTILINESTRING ((-122.4034 37.76344, -122.40436 37.76338))"
8723000,MARIPOSA,ST,CAROLINA ST,DE HARO ST,0,,,,,,,,"MULTILINESTRING ((-122.4005 37.763615, -122.40147 37.763557))"
19837000,MARIST,CT,INNES AVE,END: 1-99 BLOCK,0,,,,,,,,"MULTILINESTRING ((-122.37834 37.733467, -122.378334 37.733295, -122.37787 37.732864))"
8736000,MARK,LN,HARLAN PL,BUSH ST,0,,,,,,,,"MULTILINESTRING ((-122.404655 37.790195, -122.404755 37.79066))"
8755201,MARKET,ST,VAN NESS AVE,PAGE ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.41924 37.775143, -122.41934 37.775124, -122.42022 37.774433, -122.42024 37.774353))"
8738201,MARKET,ST,DRUMM ST,MAIN ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.396286 37.79325, -122.39639 37.793232, -122.39647 37.79318, -122.39649 37.79309))"
8771101,MARKET,ST,EUREKA ST,DOUGLASS ST,30,,,,,,,,"MULTILINESTRING ((-122.43835 37.7617, -122.438446 37.761642, -122.439 37.761517, -122.4393 37.761414, -122.4394 37.76142))"
8768201,MARKET,ST,17TH ST,COLLINGWOOD ST,30,,,,,,,,"MULTILINESTRING ((-122.43517 37.762665, -122.4353 37.76262, -122.435356 37.762585, -122.43617 37.76219, -122.436226 37.762135))"
8737102,MARKET,ST,SPEAR ST,DRUMM ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.39557 37.79375, -122.39618 37.79327, -122.396286 37.79325))"
8756201,MARKET,ST,PAGE ST,FRANKLIN ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.42024 37.774353, -122.42037 37.77431, -122.42066 37.774082, -122.420685 37.774002))"
8757201,MARKET,ST,FRANKLIN ST,ROSE ST,25,,,,,,,,"MULTILINESTRING ((-122.420685 37.774002, -122.42079 37.77399, -122.421074 37.77377))"
8757202,MARKET,ST,ROSE ST,GOUGH ST,25,,,,,,,,"MULTILINESTRING ((-122.421074 37.77377, -122.421906 37.773117, -122.42193 37.77303))"
8744101,MARKET,ST,MONTGOMERY ST,ANNIE ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.402054 37.788715, -122.40208 37.788635, -122.402824 37.788044))"
8744102,MARKET,ST,ANNIE ST,03RD ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.402824 37.788044, -122.40331 37.787655, -122.40342 37.787636))"
8751101,MARKET,ST,07TH ST,HYDE ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.4125 37.78047, -122.41252 37.780403, -122.41463 37.778732, -122.41473 37.778713))"
8773101,MARKET,ST,HATTIE ST,DANVERS ST,30,,,,,,,,"MULTILINESTRING ((-122.44097 37.761074, -122.441055 37.76103, -122.44244 37.76102, -122.44261 37.76098, -122.44281 37.76088, -122.44329 37.760582, -122.4434 37.760517, -122.443504 37.760506))"
8750101,MARKET,ST,TAYLOR ST,07TH ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.41028 37.782227, -122.4103 37.78215, -122.41241 37.78049, -122.4125 37.78047))"
8746101,MARKET,ST,GRANT AVE,STOCKTON ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.40457 37.786724, -122.404594 37.786644, -122.405716 37.78576, -122.405815 37.78574))"
8745101,MARKET,ST,03RD ST,GRANT AVE,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.40342 37.787636, -122.40344 37.787556, -122.404465 37.786743, -122.40457 37.786724))"
8753201,MARKET,ST,LARKIN ST,POLK ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.416275 37.77749, -122.41638 37.777466, -122.41746 37.77661, -122.41749 37.776535))"
8752202,MARKET,ST,HAYES ST,LARKIN ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.41599 37.777767, -122.416245 37.77757, -122.416275 37.77749))"
8773202,MARKET,ST,MERRITT ST,DANVERS ST,30,,,,,,,,"MULTILINESTRING ((-122.44277 37.76104, -122.4429 37.760952, -122.44336 37.760647, -122.443474 37.760574, -122.443504 37.760506))"
8741201,MARKET,ST,FRONT ST,BUSH ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.398254 37.79171, -122.39835 37.79169, -122.39911 37.791096, -122.39913 37.79101))"
8776202,MARKET,ST,COPPER ALY,GLENDALE ST,35,,,,,,,,"MULTILINESTRING ((-122.4429 37.757355, -122.44281 37.757225, -122.442604 37.756935, -122.44251 37.75683, -122.44232 37.756687, -122.44221 37.756634))"
8772101,MARKET,ST,DOUGLASS ST,ORD ST,30,,,,,,,,"MULTILINESTRING ((-122.4394 37.76142, -122.43947 37.761333, -122.43977 37.761185, -122.43998 37.76108, -122.44005 37.76107))"
8766101,MARKET,ST,SANCHEZ ST,16TH ST,25,,,,,,,,"MULTILINESTRING ((-122.431015 37.76586, -122.431114 37.765667, -122.432755 37.76437, -122.43306 37.76419))"
8774201,MARKET,ST,DANVERS ST,19TH ST,35,,,,,,,,"MULTILINESTRING ((-122.443504 37.760506, -122.443596 37.760494, -122.44384 37.760338, -122.444626 37.75983, -122.44476 37.759716, -122.44485 37.759605, -122.444916 37.75946, -122.44493 37.759403))"
8777101,MARKET,ST,ARGENT ALY,PORTOLA DR,35,,,,,,,,"MULTILINESTRING ((-122.44272 37.75256, -122.442665 37.752472, -122.44324 37.75016, -122.44334 37.750076))"
8776101,MARKET,ST,SHORT ST,GRAND VIEW AVE,35,,,,,,,,"MULTILINESTRING ((-122.44321 37.757793, -122.44309 37.757755, -122.443054 37.757717, -122.44289 37.757538, -122.4428 37.757404, -122.4427 37.757267, -122.442505 37.756985, -122.44242 37.75689, -122.44223 37.75675))"
8743201,MARKET,ST,02ND ST,MONTGOMERY ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.40136 37.78926, -122.40147 37.789238, -122.401924 37.78887, -122.402054 37.788715))"
8771201,MARKET,ST,EUREKA ST,DOUGLASS ST,30,,,,,,,,"MULTILINESTRING ((-122.43835 37.7617, -122.438484 37.76172, -122.43903 37.761593, -122.43929 37.7615, -122.4394 37.76142))"
8760102,MARKET,ST,PEARL ST,LAGUNA ST,25,,,,,,,,"MULTILINESTRING ((-122.42396 37.771362, -122.42473 37.77076, -122.42484 37.770744))"
8772201,MARKET,ST,DOUGLASS ST,ORD ST,30,,,,,,,,"MULTILINESTRING ((-122.4394 37.76142, -122.4395 37.761436, -122.43982 37.76129, -122.440056 37.761173))"
8776204,MARKET,ST,MORGAN ALY,DIXIE ALY,35,,,,,,,,"MULTILINESTRING ((-122.441826 37.75466, -122.441826 37.754658, -122.4419 37.754517, -122.44231 37.753944, -122.44247 37.753716))"
8766201,MARKET,ST,SANCHEZ ST,16TH ST,25,,,,,,,,"MULTILINESTRING ((-122.431015 37.76586, -122.43122 37.765785, -122.43291 37.76446, -122.43306 37.76419))"
8742202,MARKET,ST,BATTERY ST,SUTTER ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.39949 37.790802, -122.40014 37.790287))"
8760101,MARKET,ST,OCTAVIA ST,PEARL ST,25,,,,,,,,"MULTILINESTRING ((-122.42361 37.771713, -122.42363 37.77162, -122.42396 37.771362))"
8761101,MARKET,ST,LAGUNA ST,BUCHANAN ST,25,,,,,,,,"MULTILINESTRING ((-122.42484 37.770744, -122.424866 37.770653, -122.426186 37.769615, -122.42629 37.769596))"
8759101,MARKET,ST,VALENCIA ST,OCTAVIA ST,25,,,,,,,,"MULTILINESTRING ((-122.42261 37.7725, -122.42263 37.772408, -122.4235 37.77173, -122.42361 37.771713))"
8758101,MARKET,ST,GOUGH ST,VALENCIA ST,25,,,,,,,,"MULTILINESTRING ((-122.42193 37.77303, -122.42195 37.77294, -122.4225 37.772514, -122.42261 37.7725))"
8739201,MARKET,ST,MAIN ST,PINE ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.39649 37.79309, -122.3966 37.793076, -122.39735 37.792484, -122.39737 37.7924))"
8767201,MARKET,ST,16TH ST,17TH ST,25,,,,,,,,"MULTILINESTRING ((-122.43306 37.76419, -122.433395 37.764065, -122.43455 37.763134, -122.435135 37.762737, -122.43517 37.762665))"
8758201,MARKET,ST,GOUGH ST,GOUGH ST,25,,,,,,,,"MULTILINESTRING ((-122.42193 37.77303, -122.422035 37.77301, -122.42217 37.772903))"
8774203,MARKET,ST,19TH ST,CLAYTON ST,35,,,,,,,,"MULTILINESTRING ((-122.44493 37.759403, -122.44498 37.759098, -122.44493 37.75894, -122.44484 37.758804, -122.44476 37.758675, -122.444496 37.758465, -122.44414 37.758305, -122.443924 37.75819, -122.44377 37.758186))"
8776201,MARKET,ST,SHORT ST,COPPER ALY,35,,,,,,,,"MULTILINESTRING ((-122.44321 37.757793, -122.44319 37.757706, -122.443146 37.757664, -122.44299 37.75749, -122.4429 37.757355))"
8757101,MARKET,ST,FRANKLIN ST,BRADY ST,25,,,,,,,,"MULTILINESTRING ((-122.420685 37.774002, -122.42071 37.77392, -122.42122 37.773518))"
8770201,MARKET,ST,DIAMOND ST,EUREKA ST,30,,,,,,,,"MULTILINESTRING ((-122.43729 37.76189, -122.43739 37.76191, -122.43785 37.761826, -122.43825 37.761757, -122.43835 37.7617))"
8756101,MARKET,ST,PAGE ST,FRANKLIN ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.42024 37.774353, -122.420265 37.77427, -122.42058 37.77402, -122.420685 37.774002))"
8775201,MARKET,ST,CLAYTON ST,SHORT ST,35,,,,,,,,"MULTILINESTRING ((-122.44377 37.758186, -122.443756 37.758114, -122.443436 37.757915, -122.443306 37.75781, -122.44321 37.757793))"
8755101,MARKET,ST,VAN NESS AVE,PAGE ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.41924 37.775143, -122.419266 37.775063, -122.420135 37.774372, -122.42024 37.774353))"
8775101,MARKET,ST,CLAYTON ST,SHORT ST,35,,,,,,,,"MULTILINESTRING ((-122.44377 37.758186, -122.443665 37.758186, -122.44335 37.757988, -122.44321 37.75787, -122.44321 37.757793))"
8769201,MARKET,ST,COLLINGWOOD ST,DIAMOND ST,30,,,,,,,,"MULTILINESTRING ((-122.436226 37.762135, -122.4363 37.76214, -122.43651 37.762066, -122.437195 37.761936, -122.43729 37.76189))"
8761201,MARKET,ST,LAGUNA ST,BUCHANAN ST,25,,,,,,,,"MULTILINESTRING ((-122.42484 37.770744, -122.42494 37.77072, -122.42627 37.76968, -122.42629 37.769596))"
8760201,MARKET,ST,OCTAVIA ST,LAGUNA ST,25,,,,,,,,"MULTILINESTRING ((-122.42361 37.771713, -122.42371 37.77169, -122.42481 37.770824, -122.42484 37.770744))"
8742203,MARKET,ST,SUTTER ST,02ND ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.40014 37.790287, -122.40134 37.789345, -122.40136 37.78926))"
8774103,MARKET,ST,19TH ST,EAGLE ST,35,,,,,,,,"MULTILINESTRING ((-122.44481 37.759403, -122.44483 37.759106, -122.4448 37.75898, -122.44472 37.758858, -122.444695 37.75882))"
8740201,MARKET,ST,PINE ST,FRONT ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.39737 37.7924, -122.39748 37.79238, -122.398224 37.791794, -122.398254 37.79171))"
8759201,MARKET,ST,VALENCIA ST,OCTAVIA ST,25,,,,,,,,"MULTILINESTRING ((-122.42261 37.7725, -122.42272 37.772476, -122.423584 37.771793, -122.42361 37.771713))"
8752101,MARKET,ST,HYDE ST,LARKIN ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.41473 37.778713, -122.41475 37.778637, -122.416176 37.777508, -122.416275 37.77749))"
8750202,MARKET,ST,MCALLISTER ST,JONES ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.41169 37.781174, -122.41197 37.78095))"
8749101,MARKET,ST,MASON ST,TAYLOR ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.408936 37.783283, -122.408966 37.783207, -122.41019 37.78224, -122.41028 37.782227))"
8776206,MARKET,ST,ARGENT ALY,ARGENT ALY,35,,,,,,,,"MULTILINESTRING ((-122.44266 37.753036, -122.44275 37.752644, -122.44272 37.75256))"
8770101,MARKET,ST,DIAMOND ST,EUREKA ST,30,,,,,,,,"MULTILINESTRING ((-122.43729 37.76189, -122.437386 37.761837, -122.437836 37.761757, -122.438225 37.761684, -122.43835 37.7617))"
8737101,MARKET,ST,STEUART ST,SPEAR ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.39474 37.794476, -122.39476 37.794384, -122.39557 37.79375))"
8754102,MARKET,ST,11TH ST,VAN NESS AVE,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.41865 37.775555, -122.41914 37.77516, -122.41924 37.775143))"
8742101,MARKET,ST,BUSH ST,02ND ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.39913 37.79101, -122.39916 37.790928, -122.40126 37.78928, -122.40136 37.78926))"
8753101,MARKET,ST,LARKIN ST,POLK ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.416275 37.77749, -122.416306 37.777405, -122.41738 37.776554, -122.41749 37.776535))"
8757102,MARKET,ST,BRADY ST,GOUGH ST,25,,,,,,,,"MULTILINESTRING ((-122.42122 37.773518, -122.421814 37.773052, -122.42193 37.77303))"
8774101,MARKET,ST,DANVERS ST,18TH ST,35,,,,,,,,"MULTILINESTRING ((-122.443504 37.760506, -122.443535 37.760426, -122.44377 37.76027, -122.44456 37.759754, -122.44462 37.759705))"
8774102,MARKET,ST,18TH ST,19TH ST,35,,,,,,,,"MULTILINESTRING ((-122.44462 37.759705, -122.4447 37.759624, -122.44476 37.759533, -122.4448 37.759445, -122.44481 37.759403))"
8748101,MARKET,ST,05TH ST,MASON ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.40805 37.783985, -122.40808 37.7839, -122.408844 37.783302, -122.408936 37.783283))"
8774104,MARKET,ST,EAGLE ST,CLAYTON ST,35,,,,,,,,"MULTILINESTRING ((-122.444695 37.75882, -122.44465 37.75874, -122.44441 37.758556, -122.44406 37.758396, -122.44385 37.758286, -122.44377 37.758186))"
8746201,MARKET,ST,GRANT AVE,STOCKTON ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.40457 37.786724, -122.40467 37.786705, -122.40579 37.785824, -122.405815 37.78574))"
8737201,MARKET,ST,STEUART ST,DRUMM ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.39474 37.794476, -122.394844 37.794453, -122.39626 37.793335, -122.396286 37.79325))"
8742201,MARKET,ST,BUSH ST,BATTERY ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.39913 37.79101, -122.39924 37.790993, -122.39949 37.790802))"
8762202,MARKET,ST,RESERVOIR ST,14TH ST,25,,,,,,,,"MULTILINESTRING ((-122.42745 37.768764, -122.42862 37.76784, -122.42864 37.76773))"
8763101,MARKET,ST,14TH ST,CHURCH ST,25,,,,,,,,"MULTILINESTRING ((-122.42864 37.76773, -122.42867 37.767612, -122.428795 37.767513, -122.42893 37.767498))"
8747201,MARKET,ST,STOCKTON ST,05TH ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.405815 37.78574, -122.40596 37.785686, -122.40803 37.78406, -122.40805 37.783985))"
8763201,MARKET,ST,14TH ST,CHURCH ST,25,,,,,,,,"MULTILINESTRING ((-122.42864 37.76773, -122.428795 37.76771, -122.42892 37.767612, -122.42893 37.767498))"
8772202,MARKET,ST,ORD ST,HATTIE ST,30,,,,,,,,"MULTILINESTRING ((-122.440056 37.761173, -122.440216 37.76113, -122.44038 37.761124, -122.440895 37.761116, -122.44097 37.761074))"
8748201,MARKET,ST,05TH ST,MASON ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.40805 37.783985, -122.40815 37.783966, -122.40892 37.78336, -122.408936 37.783283))"
8767101,MARKET,ST,16TH ST,17TH ST,25,,,,,,,,"MULTILINESTRING ((-122.43306 37.76419, -122.43324 37.763985, -122.43444 37.763035, -122.435036 37.76265, -122.43517 37.762665))"
8741101,MARKET,ST,FRONT ST,BUSH ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.398254 37.79171, -122.39827 37.791626, -122.39903 37.791027, -122.39913 37.79101))"
8776102,MARKET,ST,GRAND VIEW AVE,ROMAIN ST,35,,,,,,,,"MULTILINESTRING ((-122.44223 37.75675, -122.44192 37.756626, -122.44155 37.756596, -122.44118 37.75644, -122.44099 37.756214))"
8769101,MARKET,ST,COLLINGWOOD ST,DIAMOND ST,30,,,,,,,,"MULTILINESTRING ((-122.436226 37.762135, -122.436295 37.762066, -122.436485 37.762, -122.43719 37.761868, -122.43729 37.76189))"
8739101,MARKET,ST,MAIN ST,PINE ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.39649 37.79309, -122.396515 37.793007, -122.39726 37.79242, -122.39737 37.7924))"
8747101,MARKET,ST,STOCKTON ST,05TH ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.405815 37.78574, -122.405846 37.785656, -122.40794 37.784008, -122.40805 37.783985))"
8772103,MARKET,ST,STORRIE ST,HATTIE ST,30,,,,,,,,"MULTILINESTRING ((-122.44024 37.761044, -122.44037 37.761036, -122.44088 37.761032, -122.44097 37.761074))"
8773201,MARKET,ST,HATTIE ST,MERRITT ST,30,,,,,,,,"MULTILINESTRING ((-122.44097 37.761074, -122.441055 37.761112, -122.44245 37.761105, -122.44277 37.76104))"
8772102,MARKET,ST,ORD ST,STORRIE ST,30,,,,,,,,"MULTILINESTRING ((-122.44005 37.76107, -122.44024 37.761044))"
8765101,MARKET,ST,15TH ST,SANCHEZ ST,25,,,,,,,,"MULTILINESTRING ((-122.43081 37.76601, -122.430824 37.765923, -122.4309 37.76587, -122.431015 37.76586))"
8776103,MARKET,ST,ROMAIN ST,MORGAN ALY,35,,,,,,,,"MULTILINESTRING ((-122.44099 37.756214, -122.44096 37.75611, -122.44099 37.755856, -122.44118 37.75558, -122.4416 37.754948, -122.44172 37.75463))"
8777201,MARKET,ST,ARGENT ALY,PORTOLA DR,35,,,,,,,,"MULTILINESTRING ((-122.44272 37.75256, -122.4428 37.752487, -122.44339 37.750183, -122.44334 37.750076))"
8776104,MARKET,ST,MORGAN ALY,DIXIE ALY,35,,,,,,,,"MULTILINESTRING ((-122.44172 37.75463, -122.441795 37.754475, -122.4422 37.7539, -122.44237 37.75366))"
8776205,MARKET,ST,DIXIE ALY,ARGENT ALY,35,,,,,,,,"MULTILINESTRING ((-122.44247 37.753716, -122.44252 37.7536, -122.44266 37.753036))"
8768101,MARKET,ST,17TH ST,COLLINGWOOD ST,30,,,,,,,,"MULTILINESTRING ((-122.43517 37.762665, -122.43529 37.762558, -122.43532 37.76254, -122.43616 37.762135, -122.436226 37.762135))"
8776105,MARKET,ST,DIXIE ALY,ARGENT ALY,35,,,,,,,,"MULTILINESTRING ((-122.44237 37.75366, -122.44242 37.75358, -122.44265 37.75263, -122.44272 37.75256))"
8749201,MARKET,ST,MASON ST,TAYLOR ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.408936 37.783283, -122.40904 37.783264, -122.410255 37.7823, -122.41028 37.782227))"
8745201,MARKET,ST,03RD ST,GRANT AVE,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.40342 37.787636, -122.40352 37.787617, -122.40454 37.786808, -122.40457 37.786724))"
8750201,MARKET,ST,TAYLOR ST,MCALLISTER ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.41028 37.782227, -122.41038 37.782207, -122.41169 37.781174))"
8754201,MARKET,ST,POLK ST,VAN NESS AVE,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.41749 37.776535, -122.41762 37.77649, -122.41915 37.775272, -122.41924 37.775143))"
8750203,MARKET,ST,JONES ST,07TH ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.41197 37.78095, -122.412476 37.78055, -122.4125 37.78047))"
8754101,MARKET,ST,POLK ST,11TH ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.41749 37.776535, -122.41751 37.776447, -122.41865 37.775555))"
8752201,MARKET,ST,HYDE ST,HAYES ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.41473 37.778713, -122.414825 37.778694, -122.41599 37.777767))"
8740101,MARKET,ST,PINE ST,FRONT ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.39737 37.7924, -122.39739 37.792316, -122.39815 37.791725, -122.398254 37.79171))"
8738101,MARKET,ST,DRUMM ST,MAIN ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.396286 37.79325, -122.39631 37.793167, -122.396385 37.79311, -122.39649 37.79309))"
8751201,MARKET,ST,07TH ST,HYDE ST,20,,,20210119000000,210119-014,,I,21-02311,"MULTILINESTRING ((-122.4125 37.78047, -122.4126 37.780453, -122.41471 37.778786, -122.41473 37.778713))"
