Ã¯Â»Â¿Incident Number,Exposure Number,ID,Address,Incident Date,Call Number,Alarm DtTm,Arrival DtTm,Close DtTm,City,zipcode,Battalion,Station Area,Box,Suppression Units,Suppression Personnel,EMS Units,EMS Personnel,Other Units,Other Personnel,First Unit On Scene,Estimated Property Loss,Estimated Contents Loss,Fire Fatalities,Fire Injuries,Civilian Fatalities,Civilian Injuries,Number of Alarms,Primary Situation,Mutual Aid,Action Taken Primary,Action Taken Secondary,Action Taken Other,Detector Alerted Occupants,Property Use,Area of Fire Origin,Ignition Cause,Ignition Factor Primary,Ignition Factor Secondary,Heat Source,Item First Ignited,Human Factors Associated with Ignition,Structure Type,Structure Status,Floor of Fire Origin,Fire Spread,No Flame Spead,Number of floors with minimum damage,Number of floors with significant damage,Number of floors with heavy damage,Number of floors with extreme damage,Detectors Present,Detector Type,Detector Operation,Detector Effectiveness,Detector Failure Reason,Automatic Extinguishing System Present,Automatic Extinguishing Sytem Type,Automatic Extinguishing Sytem Perfomance,Automatic Extinguishing Sytem Failure Reason,Number of Sprinkler Heads Operating,Supervisor District,neighborhood_district,point,longitude,latitude
"8,028,359",0,80283590,241 6th St.,2008-04-01T00:00:00,80920320,2008-04-01T22:32:12,2008-04-01T22:37:29,2008-04-01T22:47:23,SF,94107,B03,1,,3,10,0,0,0,0,E01,,,0,0,0,0,1,"743 - Smoke detector, no fire, accidental",None,86 - Investigate,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,South of Market,POINT (-122.406258 37.779375),-122.406258,37.779375
"8,028,371",0,80283710,Mendell St. / Newhall St.,2008-04-01T00:00:00,80920332,2008-04-01T23:12:06,2008-04-01T23:22:46,2008-04-01T23:23:19,SF,94124,B10,25,,1,4,0,0,0,0,E25,,,0,0,0,0,1,551 - Assist PD or other Govern. Agency,None,"70 - Assistance, other",-,-,-,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Bayview Hunters Point,POINT (-122.383855 37.742381),-122.383855,37.742381
"8,028,112",0,80281120,982 Market St.,2008-04-01T00:00:00,80920006,2008-04-01T00:24:10,2008-04-01T00:28:41,2008-04-01T00:29:46,SF,94105,B03,1,,3,11,0,0,0,0,E03,,,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,Tenderloin,POINT (-122.41034 37.782689),-122.41034,37.782689
"8,028,114",0,80281140,1485 Bayshore Bl.,2008-04-01T00:00:00,80920008,2008-04-01T00:34:39,2008-04-01T00:39:01,2008-04-01T00:43:50,SF,94124,B10,42,,1,4,0,0,0,0,E42,,,0,0,0,0,1,411 - Gasoline or other flammable liquid spill,None,45 - Remove hazard,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,10,Bayview Hunters Point,POINT (-122.40139 37.725537),-122.40139,37.725537
"8,028,127",0,80281270,University St. / Wayland St.,2008-04-01T00:00:00,80920021,2008-04-01T01:49:18,2008-04-01T01:55:37,2008-04-01T02:08:13,SF,94124,B09,42,,1,4,0,0,0,0,E42,,,0,0,0,0,1,"150 - Outside rubbish fire, other",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,Portola,POINT (-122.412971 37.723859),-122.412971,37.723859
"8,028,125",0,80281250,1 Sf Intl Airport,2008-04-01T00:00:00,80920019,2008-04-01T01:03:06,2008-04-01T01:14:26,2008-04-01T01:26:14,SFO,94128,B09,A1,,1,3,0,0,0,0,AP,,,0,0,0,0,1,413 - Oil or other combustible liquid spill,None,45 - Remove hazard,-,-,-,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bayview Hunters Point,POINT (-122.38416 37.616901),-122.38416,37.616901
"8,028,129",0,80281290,301 Main St.,2008-04-01T00:00:00,80920023,2008-04-01T01:54:55,2008-04-01T02:04:37,2008-04-01T02:07:34,SF,94103,B03,35,,3,10,0,0,0,0,E35,,,0,0,0,0,1,745 - Alarm system sounded/no fire-accidental,None,86 - Investigate,-,-,-,599 - Business office,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Financial District/South Beach,POINT (-122.39174 37.78937),-122.39174,37.78937
"8,028,137",0,80281370,21st Av. / Balboa St.,2008-04-01T00:00:00,80920032,2008-04-01T02:49:04,2008-04-01T02:56:27,2008-04-01T03:01:24,SF,94121,B07,14,,1,4,0,0,0,0,E14,,,0,0,0,0,1,"118 - Trash or rubbish fire, contained",None,11 - Extinguish,-,-,U - Unknown,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,Outer Richmond,POINT (-122.480175 37.776496),-122.480175,37.776496
"8,028,139",0,80281390,1225 Northpoint Dr.,2008-04-01T00:00:00,80920035,2008-04-01T03:17:31,2008-04-01T03:25:16,2008-04-01T03:44:02,TI,94130,B03,48,,4,12,0,0,0,0,E48,,,0,0,0,0,1,442 - Overheated motor,None,82 - Notify other agencies.,-,-,-,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Treasure Island,POINT (-122.37483737 37.83019284),-122.3748374,37.83019284
"8,028,155",0,80281550,Geary Bl. / 48th Av.,2008-04-01T00:00:00,80920057,2008-04-01T06:42:35,2008-04-01T06:47:36,2008-04-01T06:50:01,SF,94121,B07,34,,1,4,0,0,0,0,E34,,,0,0,0,0,1,"118 - Trash or rubbish fire, contained",None,"10 - Fire, other",-,-,U - Unknown,"000 - Property Use, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,Outer Richmond,POINT (-122.509368 37.778963),-122.509368,37.778963
"8,028,157",0,80281570,Steiner St. / Geary Bl.,2008-04-01T00:00:00,80920061,2008-04-01T06:46:13,2008-04-01T06:51:24,2008-04-01T06:51:24,SF,94102,B04,5,,3,9,3,5,0,0,E05,,,0,0,0,0,1,322 - Vehicle accident with injuries,None,33 - Provide advanced life support (ALS),-,-,-,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Western Addition,POINT (-122.434564 37.784151),-122.434564,37.784151
"8,028,168",0,80281680,1000 Sutter St.,2008-04-01T00:00:00,80920073,2008-04-01T07:35:48,2008-04-01T07:39:42,2008-04-01T08:16:28,SF,94109,B04,3,,3,10,0,0,0,0,E03,,,0,0,0,0,1,735 - Alarm system sounded due to malfunction,None,86 - Investigate,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nob Hill,POINT (-122.416928 37.788235),-122.416928,37.788235
"8,028,173",0,80281730,1240 Fillmore St.,2008-04-01T00:00:00,80920083,2008-04-01T08:10:50,2008-04-01T08:15:29,2008-04-01T08:23:59,SF,94115,B05,5,,1,4,0,0,0,0,E05,,,0,0,0,0,1,554 - Assist invalid,None,71 - Assist physically disabled,-,-,-,459 - Residential board and care,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Western Addition,POINT (-122.432136 37.7809),-122.432136,37.7809
"8,028,175",0,80281750,Prague St. / Drake St.,2008-04-01T00:00:00,80920085,2008-04-01T08:31:23,2008-04-01T08:35:32,2008-04-01T09:47:26,SF,94112,B09,43,,1,4,1,2,0,0,E43,,,0,0,0,0,1,"311 - Medical assist, assist EMS crew",None,32 - Provide basic life support (BLS),-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,11,Excelsior,POINT (-122.4364958 37.71006802),-122.4364958,37.71006802
"8,028,177",0,80281770,363 Noe St.,2008-04-01T00:00:00,80920087,2008-04-01T08:35:10,2008-04-01T08:41:12,2008-04-01T08:47:13,SF,94114,B05,6,,3,11,0,0,0,0,E06,,,0,0,0,0,1,745 - Alarm system sounded/no fire-accidental,None,63 - Restore fire alarm system,-,-,-,459 - Residential board and care,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Castro/Upper Market,POINT (-122.432911 37.76322),-122.432911,37.76322
"8,028,174",0,80281740,Hudson Av. / Ingalls St.,2008-04-01T00:00:00,80920084,2008-04-01T08:15:01,2008-04-01T08:19:02,2008-04-01T08:19:58,SF,94124,B10,17,,2,9,0,0,0,0,E17,,,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,10,Bayview Hunters Point,POINT (-122.379598 37.732467),-122.379598,37.732467
